IndicatorName,IndicatorCode,Location,LocationCode,Year,Disaggregation,NumericValue,DisplayValue,Comments
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Cabo Verde,CPV,2020,AGEGROUP_YEARS10-14,0.467569798,0.5,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Cambodia,KHM,2020,AGEGROUP_YEARS10-14,0.081056751,0.1,Cambodia 2021-2022 Demographic and Health Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Cameroon,CMR,2021,AGEGROUP_YEARS10-14,2.363970518,2.4,Cameroon 2022 Malaria Indicators Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Canada,CAN,2022,AGEGROUP_YEARS10-14,0.048379388,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Central African Republic,CAF,2018,AGEGROUP_YEARS10-14,7.97339344,8,Central African Republic 2018-2019 Multiple Indicator Cluster Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Chad,TCD,2018,AGEGROUP_YEARS10-14,3.873523951,3.9,Chad 2019 Multiple Indicator Cluster Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Chile,CHL,2023,AGEGROUP_YEARS10-14,0.064190343,0.1,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,"China, Hong Kong SAR",HKG,2022,AGEGROUP_YEARS10-14,0,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,"China, Macao SAR",MAC,2022,AGEGROUP_YEARS10-14,0,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Colombia,COL,2023,AGEGROUP_YEARS10-14,2.101558447,2.1,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Costa Rica,CRI,2023,AGEGROUP_YEARS10-14,1.130316257,1.1,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Côte d'Ivoire,CIV,2021,AGEGROUP_YEARS10-14,1.961802363,2,Côte d'Ivoire 2021 Census
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Croatia,HRV,2023,AGEGROUP_YEARS10-14,0.030121399,0,Registration National Statistics
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Cuba,CUB,2022,AGEGROUP_YEARS10-14,1.318604112,1.3,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Cyprus,CYP,2022,AGEGROUP_YEARS10-14,0.039999999,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Czechia,CZE,2022,AGEGROUP_YEARS10-14,0.07,0.1,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Democratic Republic of the Congo,COD,2016,AGEGROUP_YEARS10-14,3.375578165,3.4,Democratic Republic of the Congo 2017-2018 Multiple Indicator Cluster Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Denmark,DNK,2022,AGEGROUP_YEARS10-14,0,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Dominican Republic,DOM,2018,AGEGROUP_YEARS10-14,3.589341402,3.6,Dominican Republic 2019 Multiple Indicator Cluster Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Eastern Mediterranean Region,EMR,2024,AGEGROUP_YEARS10-14,0.698,0.7,
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Ecuador,ECU,2022,AGEGROUP_YEARS10-14,2.445694447,2.4,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,El Salvador,SLV,2018,AGEGROUP_YEARS10-14,2.096060991,2.1,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Estonia,EST,2022,AGEGROUP_YEARS10-14,0.029999999,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Ethiopia,ETH,2017,AGEGROUP_YEARS10-14,0.528190196,0.5,Ethiopia 2019 Demographic and Health Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,European Region,EUR,2024,AGEGROUP_YEARS10-14,0.085,0.09,
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Fiji,FJI,2019,AGEGROUP_YEARS10-14,0.000000156,0,Fiji 2021 Multiple Indicator Cluster Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Finland,FIN,2022,AGEGROUP_YEARS10-14,0,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Gabon,GAB,2019,AGEGROUP_YEARS10-14,2.778740883,2.8,Gabon 2019-2021 Demographic and Health Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Gambia,GMB,2018,AGEGROUP_YEARS10-14,1.063601255,1.1,Gambia 2019-2020 Demographic and Health Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Georgia,GEO,2022,AGEGROUP_YEARS10-14,0.059999999,0.1,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Germany,DEU,2022,AGEGROUP_YEARS10-14,0.059999999,0.1,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Ghana,GHA,2021,AGEGROUP_YEARS10-14,2,2,Ghana 2022 Demographic and Health Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Global,GLOBAL,2024,AGEGROUP_YEARS10-14,1.018,1.02,
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Greece,GRC,2022,AGEGROUP_YEARS10-14,0.49000001,0.5,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Grenada,GRD,2018,AGEGROUP_YEARS10-14,1.205786467,1.2,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Guatemala,GTM,2023,AGEGROUP_YEARS10-14,2.034820318,2,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Guinea,GIN,2020,AGEGROUP_YEARS10-14,3.322990894,3.3,Guinea 2021 Malaria Indicators Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Guinea-Bissau,GNB,2017,AGEGROUP_YEARS10-14,1.634222269,1.6,Guinea-Bissau 2018-2019 Multiple Indicator Cluster Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Guyana,GUY,2018,AGEGROUP_YEARS10-14,1.289696455,1.3,Guyana 2019-2020 Multiple Indicator Cluster Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Haiti,HTI,2015,AGEGROUP_YEARS10-14,1.341109514,1.3,Haiti 2016-2017 Demographic and Health Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Honduras,HND,2018,AGEGROUP_YEARS10-14,2.49768424,2.5,Honduras 2019 Multiple Indicator Cluster Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Hungary,HUN,2022,AGEGROUP_YEARS10-14,0.239999995,0.2,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Iceland,ISL,2022,AGEGROUP_YEARS10-14,0,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Indonesia,IDN,2016,AGEGROUP_YEARS10-14,0.280037165,0.3,Indonesia 2017 Demographic and Health Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Iran (Islamic Republic of),IRN,2021,AGEGROUP_YEARS10-14,0.423706621,0.4,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Iraq,IRQ,2016,AGEGROUP_YEARS10-14,1.589475393,1.6,Iraq 2018 Multiple Indicator Cluster Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Ireland,IRL,2022,AGEGROUP_YEARS10-14,0.01,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Israel,ISR,2022,AGEGROUP_YEARS10-14,0,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Italy,ITA,2022,AGEGROUP_YEARS10-14,0.01,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Jamaica,JAM,2018,AGEGROUP_YEARS10-14,0,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Kazakhstan,KAZ,2023,AGEGROUP_YEARS10-14,0.017465392,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Kenya,KEN,2023,AGEGROUP_YEARS10-14,0.618875146,0.6,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Kiribati,KIR,2017,AGEGROUP_YEARS10-14,1.817131639,1.8,Kiribati 2018-2019 Multiple Indicator Cluster Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Kuwait,KWT,2023,AGEGROUP_YEARS10-14,0,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Kyrgyzstan,KGZ,2023,AGEGROUP_YEARS10-14,0.014191642,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Latvia,LVA,2022,AGEGROUP_YEARS10-14,0.039999999,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Lesotho,LSO,2022,AGEGROUP_YEARS10-14,0.852098882,0.9,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Liberia,LBR,2021,AGEGROUP_YEARS10-14,6.060188293,6.1,Liberia 2022 Malaria Indicators Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Lithuania,LTU,2022,AGEGROUP_YEARS10-14,0,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Luxembourg,LUX,2022,AGEGROUP_YEARS10-14,0,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Madagascar,MDG,2019,AGEGROUP_YEARS10-14,7.078259468,7.1,Madagascar 2021 Demographic and Health Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Malawi,MWI,2018,AGEGROUP_YEARS10-14,2.045190811,2,Malawi 2019-2020 Multiple Indicator Cluster Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Malaysia,MYS,2022,AGEGROUP_YEARS10-14,0,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Maldives,MDV,2021,AGEGROUP_YEARS10-14,0.058993571,0.1,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Mali,MLI,2020,AGEGROUP_YEARS10-14,5.039414883,5,Mali 2021 Malaria Indicators Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Malta,MLT,2022,AGEGROUP_YEARS10-14,0,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Mauritania,MRT,2019,AGEGROUP_YEARS10-14,6.266088963,6.3,Mauritania 2019-2021 Demographic and Health Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Mauritius,MUS,2023,AGEGROUP_YEARS10-14,0.446410656,0.4,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Mexico,MEX,2021,AGEGROUP_YEARS10-14,0.818152964,0.8,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Mongolia,MNG,2023,AGEGROUP_YEARS10-14,0.114923373,0.1,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Montenegro,MNE,2022,AGEGROUP_YEARS10-14,0,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Morocco,MAR,2018,AGEGROUP_YEARS10-14,0.012119381,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Mozambique,MOZ,2021,AGEGROUP_YEARS10-14,7,7,Mozambique 2022-2023 Demographic and Health Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Namibia,NAM,2021,AGEGROUP_YEARS10-14,0.291107029,0.3,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Nepal,NPL,2020,AGEGROUP_YEARS10-14,0.000002242,0,Nepal 2022 Demographic and Health Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Netherlands (Kingdom of the),NLD,2022,AGEGROUP_YEARS10-14,0,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,New Zealand,NZL,2023,AGEGROUP_YEARS10-14,0.109884076,0.1,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Nicaragua,NIC,2023,AGEGROUP_YEARS10-14,4.68778944,4.7,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Niger,NER,2020,AGEGROUP_YEARS10-14,3.04707408,3,Niger 2021 Malaria Indicator Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Nigeria,NGA,2020,AGEGROUP_YEARS10-14,1.86640656,1.9,Nigeria 2021 Multiple Indicator Cluster Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Niue,NIU,2022,AGEGROUP_YEARS10-14,0,0,Registration National Statistics
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,North Macedonia,MKD,2022,AGEGROUP_YEARS10-14,0.330000013,0.3,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Norway,NOR,2022,AGEGROUP_YEARS10-14,0,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,"occupied Palestinian territory, including east Jerusalem",PSE,2018,AGEGROUP_YEARS10-14,0.000000053,0,State of Palestine 2019-2020 MICS
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Oman,OMN,2023,AGEGROUP_YEARS10-14,0.027086912,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Panama,PAN,2022,AGEGROUP_YEARS10-14,2.0324862,2,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Papua New Guinea,PNG,2016,AGEGROUP_YEARS10-14,1.106397748,1.1,Papua New Guinea 2016-2018 Demographic and Health Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Paraguay,PRY,2015,AGEGROUP_YEARS10-14,3.242248535,3.2,Paraguay 2016 Multiple Indicator Cluster Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Peru,PER,2023,AGEGROUP_YEARS10-14,0.975304306,1,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Philippines,PHL,2022,AGEGROUP_YEARS10-14,0.542743921,0.5,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Poland,POL,2022,AGEGROUP_YEARS10-14,0.039999999,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Portugal,PRT,2022,AGEGROUP_YEARS10-14,0.090000004,0.1,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Puerto Rico,PRI,2023,AGEGROUP_YEARS10-14,0.050603446,0.1,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Qatar,QAT,2022,AGEGROUP_YEARS10-14,0,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Region of the Americas,AMR,2024,AGEGROUP_YEARS10-14,1.196,1.2,
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Republic of Korea,KOR,2022,AGEGROUP_YEARS10-14,0.008913604,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Republic of Moldova,MDA,2022,AGEGROUP_YEARS10-14,0.128119126,0.1,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Romania,ROU,2022,AGEGROUP_YEARS10-14,1.409999967,1.4,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Russian Federation,RUS,2022,AGEGROUP_YEARS10-14,0.100000001,0.1,Registration National Statistics
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Rwanda,RWA,2023,AGEGROUP_YEARS10-14,0.092828102,0.1,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Saint Lucia,LCA,2020,AGEGROUP_YEARS10-14,0.835701168,0.8,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Saint Vincent and the Grenadines,VCT,2021,AGEGROUP_YEARS10-14,1.833892226,1.8,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Samoa,WSM,2018,AGEGROUP_YEARS10-14,0.44772467,0.4,Samoa 2019-2020 Multiple Indicator Cluster Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Sao Tome and Principe,STP,2018,AGEGROUP_YEARS10-14,0.37442255,0.4,Sao Tome and Principe 2019 Multiple Indicator Cluster Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Senegal,SEN,2019,AGEGROUP_YEARS10-14,4.254123688,4.3,Senegal 2020-2021 Malaria Indicators Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Serbia,SRB,2022,AGEGROUP_YEARS10-14,0.180000007,0.2,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Seychelles,SYC,2023,AGEGROUP_YEARS10-14,0.727978647,0.7,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Sierra Leone,SLE,2018,AGEGROUP_YEARS10-14,3.943399429,3.9,Sierra Leone 2019 Demographic and Health Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Singapore,SGP,2022,AGEGROUP_YEARS10-14,0.027446151,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Slovakia,SVK,2022,AGEGROUP_YEARS10-14,0.310000002,0.3,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Slovenia,SVN,2022,AGEGROUP_YEARS10-14,0,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Somalia,SOM,2017,AGEGROUP_YEARS10-14,1.181290865,1.2,Somalia 2018-2019 Health and Demographic Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,South Africa,ZAF,2022,AGEGROUP_YEARS10-14,1.340156078,1.3,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,South-East Asia Region,SEAR,2024,AGEGROUP_YEARS10-14,0.301,0.3,
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Spain,ESP,2022,AGEGROUP_YEARS10-14,0.059999999,0.1,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Sri Lanka,LKA,2015,AGEGROUP_YEARS10-14,0.043572035,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Suriname,SUR,2022,AGEGROUP_YEARS10-14,1.547075272,1.5,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Sweden,SWE,2022,AGEGROUP_YEARS10-14,0.02,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Switzerland,CHE,2022,AGEGROUP_YEARS10-14,0,0,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Tajikistan,TJK,2019,AGEGROUP_YEARS10-14,0,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Thailand,THA,2022,AGEGROUP_YEARS10-14,0.783626199,0.8,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Timor-Leste,TLS,2015,AGEGROUP_YEARS10-14,0,0,Timor-Leste 2016 Demographic and Health Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Togo,TGO,2016,AGEGROUP_YEARS10-14,3.004820347,3,Togo 2017 Malaria Indicator Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Tunisia,TUN,2021,AGEGROUP_YEARS10-14,0,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Türkiye,TUR,2022,AGEGROUP_YEARS10-14,0.050000001,0.1,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Turkmenistan,TKM,2018,AGEGROUP_YEARS10-14,0.000000006,0,Turkmenistan 2019 Multiple Indicator Cluster Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Tuvalu,TUV,2022,AGEGROUP_YEARS10-14,0,0,Registration National Statistics
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Uganda,UGA,2017,AGEGROUP_YEARS10-14,1.087815642,1.1,Uganda 2018-2019 Malaria Indicators Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Ukraine,UKR,2021,AGEGROUP_YEARS10-14,0.079999998,0.1,Registration Eurostat
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,United Arab Emirates,ARE,2022,AGEGROUP_YEARS10-14,0,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,United Kingdom,GBR,2022,AGEGROUP_YEARS10-14,0.039883189,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,United Republic of Tanzania,TZA,2020,AGEGROUP_YEARS10-14,1.155173898,1.2,United Republic of Tanzania 2022 Demographic and Health Survey
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,United States of America,USA,2022,AGEGROUP_YEARS10-14,0.200000003,0.2,Registration National Statistics
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Uruguay,URY,2022,AGEGROUP_YEARS10-14,0.335962087,0.3,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Uzbekistan,UZB,2023,AGEGROUP_YEARS10-14,0.017934648,0,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Venezuela (Bolivarian Republic of),VEN,2019,AGEGROUP_YEARS10-14,2.465504408,2.5,Registration National Statistics & WPP2024
Adolescent birth rate (per 1000 women aged 10-14 years),MDG_0000000003,Western Pacific Region,WPR,2024,AGEGROUP_YEARS10-14,0.103,0.1,
